size, bimodal, words only, image only
8,0.009173725792466,0.009701607387116,0.009257270925014
40,0.008329028860209,0.00859051000896,0.007911133212986
72,0.00808978818661,0.008404454763082,0.007644748249031
104,0.007693585328525,0.008403532221995,0.007037156456715
136,0.007136088668658,0.008412312629258,0.006452275648243
168,0.007005971000008,0.008375842584495,0.006282935315135
200,0.006797324157432,0.008303295223676,0.006103547040753
232,0.006969976384857,0.00854864389392,0.006275366811207
264,0.006918484530481,0.008445658294281,0.006322220868983
296,0.006796694996323,0.008641989495933,0.006152248588451
