size, bimodal, words only, image only
8,1.36E-05,1.33E-05,1.40E-05
40,1.74E-05,1.59E-05,1.68E-05
72,1.54E-05,1.51E-05,1.54E-05
104,1.40E-05,1.46E-05,1.53E-05
136,1.33E-05,1.31E-05,1.40E-05
168,1.32E-05,1.31E-05,1.28E-05
200,1.20E-05,1.22E-05,1.27E-05
232,1.47E-05,1.37E-05,1.39E-05
264,1.44E-05,1.47E-05,1.45E-05
296,1.77E-05,1.75E-05,1.85E-05
