size, bimodal, words only, image only
8,0.00916010090926,0.009688339626882,0.00924324028914
40,0.008311594780362,0.008574626152404,0.007894330356848
72,0.008074378940553,0.008389313705912,0.00762931462636
104,0.00767960668438,0.008388966936575,0.007021831008024
136,0.007122747814046,0.008399210640454,0.006438321520303
168,0.006992803436286,0.008362716215736,0.00627008706646
200,0.006785274700141,0.00829114436034,0.006090809088481
232,0.006955322534863,0.008534928204177,0.006261465040842
264,0.006904039460911,0.008430950252093,0.006307760348729
296,0.006779016323034,0.008624496204666,0.006133755660159
