size, bimodal, words only, image only
8,0.006646006308851,0.007367205045029,0.006670787651811
40,0.00537601155299,0.005658675461539,0.005237719021022
72,0.005568973761035,0.005896097916232,0.005921786605653
104,0.005032318198919,0.005520517625835,0.004682065856504
136,0.00488419588587,0.005530893817267,0.004493462327109
168,0.00490743987475,0.005505677633204,0.004495858965854
200,0.004697468231165,0.005462740311442,0.004346296952011
232,0.004905934837977,0.005651403974848,0.004527731513749
264,0.004635027394451,0.005456113657518,0.004274185925106
296,0.004403631943946,0.005438773610297,0.004045882204495
