size, bimodal, words only, image only
8,0.006648996108166,0.007370024313647,0.006681304944307
40,0.005379304327186,0.00566198874542,0.00527035435403
72,0.005573181760117,0.005900365660574,0.006673848451393
104,0.005035658825615,0.005523826131172,0.004685300656068
136,0.004887559771718,0.005534157325639,0.004572926563075
168,0.004910762922355,0.005509078225073,0.004499084101113
200,0.004700377543172,0.005465640247398,0.004600903073438
232,0.004910202723796,0.005655563247274,0.004531920514875
264,0.004638349077967,0.005459370235136,0.004277601861862
296,0.004406661864149,0.005441850340813,0.004189559028439
