size, bimodal, words only, image only
8,0.005021797562518,0.007966486329678,0.004357173124811
16,0.00288037996571,0.008172650125171,0.002702388906403
24,0.001366555302499,0.00803231195012,0.001284987411863
32,0.000948619761039,0.007808703047016,0.000873945514495
40,0.0009327940659,0.008061962701915,0.000845159255442
48,0.000828158306346,0.007954386911458,0.000796932842382
56,0.000966910607423,0.007782889635699,0.000902409527636
64,0.001174380014439,0.007975637817031,0.001060051358352
72,0.000937204845724,0.008022729699345,0.000866101008918
80,0.000705115470919,0.007969060100839,0.00064672981626
88,0.00073939351601,0.007972404738043,0.000701613799471
96,0.001178294395774,0.007963439675169,0.00113110057945
104,0.001110418827415,0.007905603781412,0.001051681400147
112,0.000648374411362,0.007889870327846,0.000631200907756
120,0.000591576665896,0.007839328709438,0.000573984966818
128,0.000676419104167,0.007842648053042,0.000644397031014
136,0.000482808992415,0.007691446782728,0.000451707741282
144,0.00086063786897,0.008041600955012,0.000813201299806
152,0.000559528704185,0.007796868523238,0.000529681945099
160,0.00063676214847,0.007892282783157,0.000585477318533
168,0.000629631895572,0.007849310709302,0.000588118362713
176,0.000600729456346,0.007886274846236,0.000580141100067
184,0.000538814522345,0.007870270856829,0.000481804586134
192,0.000621316923719,0.00783269523893,0.000609468783444
200,0.00057141039444,0.007883397568259,0.000523780857771
208,0.000944058966814,0.008014244986784,0.00089247461044
216,0.00063583749714,0.007826294505072,0.000616141068922
224,0.000920054307304,0.007835978575275,0.000871923835129
232,0.000671755426878,0.007877539847633,0.000625293474769
240,0.000573355646931,0.007985485279157,0.000531032931057
248,0.000569636769823,0.007791392355985,0.000543863875835
256,0.000731312909166,0.008107590036363,0.000671506339859
