size, bimodal, words only, image only
8,0.005021795839571,0.007966482813505,0.004357171742056
9,0.004496745241771,0.007980002904811,0.003990220659223
10,0.00455645912508,0.008204946757501,0.004172994584897
11,0.004086673575781,0.008150540943327,0.003624578591014
12,0.003414670230942,0.008407961495686,0.002814231322716
13,0.002750181532206,0.008038012998144,0.002503283384377
14,0.002348515783281,0.008052175231623,0.002027637754024
15,0.002298977291772,0.008117993040166,0.001971806337652
16,0.002880380481818,0.008172646031232,0.002702389927193
17,0.001911020919862,0.008034215056924,0.001755949561872
18,0.001532583668638,0.008124372726565,0.001466223999159
19,0.00244125492237,0.008052859542874,0.002298312308267
20,0.001668921773671,0.008082716204485,0.001542336615428
21,0.001374069744014,0.008132662455534,0.001215908462203
22,0.00128488076066,0.008205370963292,0.001199662659632
23,0.001725974639218,0.008169695472828,0.001489320310928
