size, bimodal, words only, image only
8,0.005021116742864,0.007965769883918,0.004356512586
9,0.00449598351778,0.007979196931356,0.003989438101632
10,0.004555257518034,0.008203414670209,0.004171878430578
11,0.004085855685709,0.008149642884921,0.003623760575041
12,0.003413460037619,0.00840673045238,0.002813032964952
13,0.002749291287856,0.008037104393373,0.002502429816889
14,0.002347787565776,0.008051468006818,0.00202690612943
15,0.002298083839533,0.008117212460773,0.001971019296131
16,0.002879308109577,0.008171554628104,0.002701418574132
17,0.00191018825108,0.00803344342987,0.001755146735727
18,0.001531743931938,0.008123531798763,0.001465405263891
19,0.002440496034278,0.00805215656421,0.002297617153467
20,0.001667975623665,0.008081761381537,0.00154144165658
21,0.001372918770088,0.008131629876637,0.001214743399975
22,0.001284112904169,0.008204598351882,0.001198934313639
23,0.001725133579802,0.008168820287446,0.001488496705402
